id,name,year,site
2328,World Senior 50+ 2019,2019,Bucharest ROU
2329,TCh-GER Junior U20 2019,2019,Braunschweig GER
2330,World Rapid 2019,2019,Moscow RUS
2331,World Blitz Women 2019,2019,Moscow RUS
2332,TCh-CZE 1 Liga Vychod,2020,Czech Republic CZE
2333,32nd Staufer-Open 2020,2020,Schwaebisch Gmuend GER
2334,19th Prague Open 2020,2020,Prague CZE
2335,Gibraltar Masters 2020,2020,Caleta ENG
2336,25th HIT Open 2020,2020,Nova Gorica SLO
2337,TCh-Madrid Honor 2019-20,2020,Madrid ESP
2338,4NCL Div 1b 2019-20,2020,Daventry ENG
2339,Frauenbundesliga 2019-20,2020,Germany GER
2340,Brazil Caxambu Open 2020,2020,Caxambu BRA
2341,ch-UZB 2020,2020,Tashkent UZB
2342,1st OEISM Zwischenrunde,2020,PlayChess INT
2343,RUS-BLR U-16 Team Battle,2020,lichess.org INT
2344,PNWCC Masters 2020,2020,chess.com INT
2345,New York vs. Singapore,2020,chess24.com INT
2346,Riga Summer Open 2020,2020,Riga LAT
2347,Women's Speed Chess Q1,2020,chess.com INT
2348,UKR-ITA U20 Team Battle,2020,lichess.org INT
2349,UKR-KAZ U16 Team Battle,2020,lichess.org INT
2350,Orbis July GM 2020,2020,Paracin SRB
2351,40th Plunge Open 2020,2020,Plateliai LTU
2352,3rd QCP Open & Fort Worth,2020,Fort Worth USA
2353,PNWCC Online Blitz JP 17,2020,lichess.org INT
2354,Elitzur IMB Summer 2020,2020,Petah Tikva ISR
2355,Online Olym Div4 E 2020,2020,chess.com INT
2356,PNWCC Blitz Championship,2020,lichess.org INT
2357,Online Olym Div2 E 2020,2020,chess.com INT
2358,Katara Bullet Final 2020,2020,lichess.org INT
2359,27th BIH Teams A 2020,2020,Lukavac BIH
2360,Elitzur Int Online 2020,2020,chess.com INT
2361,Trophee Roza Lallemand,2020,Tornelo INT
2362,EUR Online Women CC GpC,2020,Tornelo INT
2363,PNWCC WOW Open,2020,chess.com INT
2364,Caissa Guatemala Online,2021,chess.com INT
2365,Bogdanovich Mem Final,2021,lichess.org INT
2366,ch-ARM Rapid 2021,2021,Yerevan ARM
2367,Cappelle Online Bullet,2021,Europe-Echecs INT
2368,ch-SRB Semi-Final 2021,2021,Paracin SRB
2369,European Online CC GpE,2021,Tornelo INT
2370,Chess.com SIG Bullet Wild,2021,chess.com INT
2371,4NCL Online S3 Div2 2021,2021,lichess.org INT
2372,PNWCC Online Blitz JP 23,2021,chess.com INT
2373,Tetraktys Concept Mgmt Bl,2021,Europe-Echecs INT
2374,FIDE World Cup 2021,2021,Krasnaya Polyana RUS
2375,Orbis 4 IM 2021,2021,Paracin SRB
2376,ch-GER DEM Women 2021,2021,Magdeburg GER
2377,Muswell Hill IM 2021,2021,London ENG
2378,4th Solta Open 2021,2021,Grohote CRO
2379,Zakovat-Gambit A Final,2021,chess.com INT
2380,TCh-POL 1st League 2021,2021,Szklarska Poreba POL
2381,Online Olym Top DivC 2021,2021,chess.com INT
2382,26th 4NCL Congress 2021,2021,Leamington Spa ENG
2383,Be6!! Online Chess 2021,2021,Tornelo INT
2384,Panchenko Mem Open B 2021,2021,Chelyabinsk RUS
2385,Junior U21 Round Table Op,2021,Plovdiv BUL
2386,ch-IRQ 2021,2021,Baghdad IRQ
2387,28th ProAm Copa Clarin Op,2021,Villa Martelli ARG
2388,23rd European Teams,2021,Terme Catez SLO
2389,18th Vasylyshyn IM,2021,Lviv UKR
2390,26th Bosnjaci Open,2022,Bosnjaci CRO
2391,Tatra Limba Open 2022,2022,Poronin POL
2392,Mentese Flowers WGM 2022,2022,Mentese TUR
2393,Titled Tue 15th Feb Late,2022,chess.com INT
2394,Fourth Sunday IM Mar 2022,2022,Nakhchivan AZE
2395,John Bolger Cup Masters,2022,Dublin IRL
2396,19th Delhi Open 2022,2022,New Delhi IND
2397,Titled Tue 12th Apr Late,2022,chess.com INT
2398,15th American Continental,2022,San Salvador ESA
2399,31st SEA Games Blitz,2022,Ha Long VIE
2400,31st SEA Games Blitz Team,2022,Ha Long VIE
2401,Titled Tue 24th May Late,2022,chess.com INT
2402,Women's Speed Chess Q2F,2022,chess.com INT
2403,3rd Gran Canaria Online,2022,lichess.org INT
2404,15th Philadelphia Int,2022,Philadelphia USA
2405,Titled Tue 19th Jul Early,2022,chess.com INT
2406,Odesa Blitz - Chess Day,2022,chess.com INT
2407,Hollywood Norm Classic #1,2022,Los Angeles USA
2408,Titled Tue 9th Aug Late,2022,chess.com INT
2409,22nd ch-EUR Indiv w 2022,2022,Prague CZE
2410,Titled Tue 23rd Aug Late,2022,chess.com INT
2411,Titled Tue 30th Aug Late,2022,chess.com INT
2412,Portugal Open Rapid 2022,2022,Lisbon POR
2413,World Youth Open U18 2022,2022,Mamaia ROU
2414,1000GM #0004 IM 2022,2022,Saint Louis USA
2415,Titled Tue 4th Oct Late,2022,chess.com INT
2416,Zonal 2.4 2022,2022,Natal BRA
2417,44th Arco Open 2022,2022,Arco ITA
2418,ch-RUS Blitz w 2022,2022,Sochi RUS
2419,Skopje Open 2022,2022,Skopje MKD
2420,chess.com SpeedChess Q1Sw,2022,chess.com INT
2421,ch-AZE Rapid 2022,2022,Baku AZE
2422,ch-AZE Blitz 2022,2022,Baku AZE
2423,Titled Tue 6th Dec Early,2022,chess.com INT
2424,4NCL Online S6 Div1A 2022,2022,lichess.org INT
2425,71st ch-GRE 2022,2022,Athens GRE
2426,Orsha 2022-2 Masters,2022,Orsha BLR
2427,Anibal op 5th,1998,Linares
2428,Budapest FS08 ELO,1998,Budapest
2429,BRA-ch,1998,Itabirito
2430,Oxford IM,1998,Oxford
2431,Nova Gorica op,1999,Nova Gorica
2432,DEN-chB,1999,Aarhus
2433,St Quentin op,1999,St Quentin
2434,Budapest FS05 Elo,1999,Budapest
2435,Kleve op,1999,Kleve
2436,Curitiba,1999,Curitiba
2437,EUCup99 (Women),1999,Nova Gorica
2438,Faro op,1999,Algarve
2439,Abu Dhabi Masters op,1999,Abu Dhabi
2440,FRA-ch 2nd stage,1999,Bescanon
2441,Wch U12,1999,Oropesa del Mar
2442,12th Sueder Summer,2001,Recklinghausen GER
2443,ch-New York State,2001,Rochester NY USA
2444,TCh-CRO Jun,2001,Pula CRO
2445,AS04 Centenary,2004,Copenhagen DEN
2446,Bygger'n Masters,2005,Gausdal NOR
2447,25th OCF NAO Open,2006,Stillwater USA
2448,6th Open,2006,Saint Chely d'Aubrac FRA
2449,2nd Open,2007,d'Angers FRA
2450,22nd North Sea Cup,2007,Esbjerg DEN
2451,WCh-Junior,2008,Gaziantep TUR
2452,5th XtraCon Open,2010,Borup DEN
2453,EYCC Girls U8,2010,Batumi GEO
2454,Guernsey Open,2010,Grand Havre Bay GBG
2455,Lenk Open,2011,Lenk SUI
2456,ch-Euro Indiv Women,2011,Tbilisi GEO
2457,Karvina Open,2011,Karvina CZE
2458,ch-PHI w,2011,Manila PHI
2459,36th MGU Open,2011,Sofia BUL
2460,VII Ugra Governor's Cup,2011,Khanty-Mansiysk RUS
2461,WYCC U14 Girls,2011,Caldas Novas BRA
2462,FSFMB December 2011,2011,Budapest HUN
2463,Reykjavik Open,2012,Reykjavik ISL
2464,Semana Santa LAB Open,2012,Bogota COL
2465,II Brazil Open 2012,2012,Fortaleza BRA
2466,Tschaturanga Open,2012,Vienna AUT
2467,EY Girls U18 2012,2012,Prague CZE
2468,I Open Distrito de Chamartin,2012,Madrid ESP
2469,WY GU18 2012,2012,Maribor SLO
2470,Australian Open 2013,2013,Cammeray AUS
2471,3rd Petropolis Open,2013,Petropolis BRA
2472,Zonal 2.4 Absoluto 2013,2013,Manaus BRA
2473,Open Hradec Kralove 2013,2013,Hradec Kralove CZE
2474,2nd Jan Van Leeuwen Memorial,2013,Ghent BEL
2475,Spicenet Tanzania Open,2013,Dar es Salaam TAN
2476,Karvina Open 2013,2013,Karvina CZE
2477,XV Sant Marti Open A,2013,Barcelona ESP
2478,15th TCh-Eur Senior,2013,Dresden GER
2479,12th Lichtenberger Sommer,2013,Berlin GER
2480,XXX Collado Villalba Open 2013,2013,Collado Villalba ESP
2481,6th Sabadell Open,2013,Sabadell ESP
2482,Chigorin Memorial,2013,St Petersburg RUS
2483,Orlova Open A 2014,2014,Orlova CZE
2484,Early Bird Rating 2014,2014,St Petersburg RUS
2485,Helmut-Kohls-Turnier 2014,2014,Dortmund GER
2486,Politiken Cup 2014,2014,Helsingor DEN
2487,ZMDI Open 2014,2014,Dresden GER
2488,11th South Wales Int 2014,2014,Cardiff WLS
2489,German County Youth Ch,2014,Hannover GER
2490,American Continental 2014,2014,Praia da Pipa BRA
2491,122nd MGU Open 2014,2014,Sofia BUL
2492,ch-CZE U20 SF 2014,2014,Frydek Mistek CZE
2493,6th Penang Open 2014,2014,Penang MAS
2494,3rd Al Ain Chess Rapid,2014,Al-Ain UAE
2495,122nd ch-NZL Open 2015,2015,Auckland NZL
2496,Australian Open 2015,2015,Sydney AUS
2497,132nd MGU Open 2015,2015,Sofia BUL
2498,14th Marienbad Open 2015,2015,Marianske Lazne CZE
2499,20th HIT Open 2015,2015,Nova Gorica SLO
2500,Graz Open A 2015,2015,Graz AUT
2501,Spring Open Women 2015,2015,Budapest HUN
2502,NSW Open 2015,2015,Sydney AUS
2503,43rd Sparkassen Open,2015,Dortmund GER
2504,11th Baltic Pearl Open,2015,Lazy POL
2505,South African Open 2015,2015,Cape Town RSA
2506,US Chess League 2015,2015,ICC INT
2507,Hong Kong Open 2015,2015,Hong Kong HKG
2508,ch-PUR 2015,2015,Bayamon PUR
2509,XTRACON GM 2015,2015,Koge DEN
2510,162nd MGU Open 2016,2016,Sofia BUL
2511,e2e4 London Gatwick,2016,Crawley ENG
2512,89th ch-St Petersburg,2016,St Petersburg RUS
2513,ch-SRB semi-final 2016,2016,Belgrade SRB
2514,1st Dyuni Open 2016,2016,Dyuni BUL
2515,19th Rhein-Main-Open 2016,2016,Bad Homburg GER
2516,XXXI Gniota Memorial Open,2016,Police POL
2517,123rd ch-SCO Open 2016,2016,Glasgow SCO
2518,ch-USA Junior 2016,2016,Saint Louis USA
2519,Aegean Open 2016,2016,Aghios Kirykos GRE
2520,Canadian Open 2016,2016,Windsor CAN
2521,27th Panam Youth U18,2016,Montevideo URU
2522,29th Kiel Open 2016,2016,Kiel GER
2523,St.Petersburg Rapid 2016,2016,St Petersburg RUS
2524,Montreal Open 2016,2016,Montreal CAN
2525,ch-Tatarstan Women 2016,2016,Kazan RUS
2526,77th ch-ARM 1st League,2016,Yerevan ARM
2527,World Schools Girls U17,2016,Sochi RUS
2528,19th Heraklion Open 2017,2017,Heraklion GRE
2529,179th MGU Open 2017,2017,Sofia BUL
2530,13th Moscow Open A 2017,2017,Moscow RUS
2531,Schwarzenegger Open 2017,2017,Columbus USA
2532,Zonal 3.3 w 2017,2017,Tagaytay City PHI
2533,7th HD Bank Cup 2017,2017,Ho Chi Minh City VIE
2534,90th ch-St Petersburg,2017,St Petersburg RUS
2535,ch-Moscow Women 2017,2017,Moscow RUS
2536,PSS Prestige Rapid 2017,2017,Johannesburg RSA
2537,Zahoracky GM 2017,2017,Senica SVK
2538,47th Bosna Open 2017,2017,Sarajevo BIH
2539,Wisconsin International,2017,Madison USA
2540,11th World Teams Women,2017,Khanty-Mansiysk RUS
2541,15th IBCA Olympiad 2017,2017,Ohrid MKD
2542,10th New York Int 2017,2017,New York USA
2543,10th Asrian Memorial 2017,2017,Yerevan ARM
2544,Golden Prague Open 2017,2017,Prague CZE
2545,VMCG Open B 2017,2017,Lueneburg GER
2546,V4 Stiavnica Open 2017,2017,Banska Stiavnica SVK
2547,11th Portoroz Open 2017,2017,Portoroz SLO
2548,Erfurt Women's Open 2017,2017,Erfurt GER
2549,ch-EST 2017,2017,Tallinn EST
2550,5th Brazil Open 2017,2017,Teresina BRA
2551,Letnji Open Jezero 2017,2017,Belgrade SRB
2552,24th Abu Dhabi Masters,2017,Abu Dhabi UAE
2553,3rd Cubuk Open 2017,2017,Cubuk TUR
2554,Lichtenberger Sommer 2017,2017,Berlin GER
2555,37th Bratto Open 2017,2017,Bratto ITA
2556,Porto San Giorgio Open,2017,Porto San Giorgio ITA
2557,St.Petersburg Rapid 2017,2017,St Petersburg RUS
2558,Trinidad & Tobago Open,2017,Port of Spain TRI
2559,21st Heraklion Open 2017,2017,Heraklion GRE
2560,ch-Tatarstan 2017,2017,Kazan RUS
2561,TX Armed Forces 2017,2017,North Richland Hills USA
2562,5th Asian U23 Men Rapid,2017,Ashgabat TKM
2563,World Youth Girl U16 2017,2017,Montevideo URU
2564,German Youth Teams 2017,2017,Hannover GER
2565,St Louis Inv IM 2017,2017,Saint Louis USA
2566,Pavlodar Open 2017,2017,Pavlodar KAZ
2567,IV Azores Open 2017,2017,Ponta Delgada POR
2568,African Juniors 2017,2017,Lome TOG
2569,8th Arco Christmas Open,2017,Arco ITA
2570,27th North American Open,2017,Las Vegas USA
2571,1st Al Ain Junior U20,2018,Al-Ain UAE
2572,30th Staufer-Open 2018,2018,Schwaebisch Gmuend GER
2573,40th White Tower Open,2018,Thessaloniki GRE
2574,2nd Excelsior Palace Open,2018,Trieste ITA
2575,Steinthor Baldursson Mem,2018,Kopavogur ISL
2576,56th TCh-DEN Ex 2017-18,2018,Denmark DEN
2577,Third Saturday 58 Jan,2018,Backi Petrovac SRB
2578,17th 4NCL Congress 2018,2018,Harrogate ENG
2579,Third Saturday 59 Jan IM,2018,Novi Sad SRB
2580,205th MGU Open 2018,2018,Sofia BUL
2581,9th Pfalz Open 2018,2018,Neustadt an der Weinstrasse GER
2582,Aeroflot Open A 2018,2018,Moscow RUS
2583,ch-LTU 2018,2018,Kaunas LTU
2584,208th MGU Open 2018,2018,Sofia BUL
2585,ch-POL Rapid 2018,2018,Zgierz POL
2586,209th MGU Open 2018,2018,Sofia BUL
2587,64th ch-WLS 2018,2018,Cardiff WLS
2588,4th HSK Easter Open 2018,2018,Hamburg GER
2589,62nd Southend Easter 2018,2018,Southend ENG
2590,TCh-AUT 2nd Mitte 2017-18,2018,Austria AUT
2591,TCh-CHN 2018,2018,China CHN
2592,18th BCC Open 2018,2018,Cha-Am THA
2593,16th Red River Shoot,2018,Davis USA
2594,28th ch-SLO Women 2018,2018,Ljubljana SLO
2595,ch-Africa 2018,2018,Livingstone ZAM
2596,1st Bohumin Open 2018,2018,Bohumin CZE
2597,CHN-RUS Summit Blitz 2018,2018,Qinhuangdao CHN
2598,ch-CRO w 2018,2018,Zagreb CRO
2599,1st Longtou Cup 2018,2018,Qinhuangdao CHN
2600,13th American Continental,2018,Montevideo URU
2601,Golden Horseshoe Open,2018,Mississauga CAN
2602,ch-CHN Blitz 2018,2018,Tianjin CHN
2603,Armenian Clubs 2018,2018,Yerevan ARM
2604,4th ad Gredine Open 2018,2018,Ortisei ITA
2605,2nd Hersonissos Open 2018,2018,Hersonissos GRE
2606,14th Baltic Pearl Open,2018,Lazy POL
2607,TCh-CHN B 2018,2018,Jiangmen CHN
2608,ch-USA Junior 2018,2018,Saint Louis USA
2609,Najdorf Mem Open A 2018,2018,Warsaw POL
2610,V4 Stiavnica Open 2018,2018,Banska Stiavnica SVK
2611,19th 4NCL Congress 2018,2018,Telford ENG
2612,3rd Espalion Open 2018,2018,Espalion FRA
2613,13th Poti Open 2018,2018,Poti GEO
2614,Bruges Masters 2018,2018,Bruges BEL
2615,83rd ch-ESP 2018,2018,Linares ESP
2616,Svenska Cup 2018,2018,Linkoping SWE
2617,Aarhus Festuge GM 2018,2018,Aarhus DEN
2618,27th TCh-CRO Women 2018,2018,Biograd na Moru CRO
2619,TCh-RUS Blitz w 2018,2018,Sochi RUS
2620,Four Seasons FM 2018,2018,Rijeka CRO
2621,RSHSH Master Cup Oct 2018,2018,Moscow RUS
2622,Lichtenrader Herbst 2018,2018,Berlin GER
2623,28th TCh-SLO 2018,2018,Slovenia SLO
2624,TCh-AUT Frauen 2018-19,2018,Austria AUT
2625,North Carolina Closed,2018,Charlotte USA
2626,TCh-HUN 2018-19,2018,Hungary HUN
2627,ch-Moscow Rapid 2018,2018,Moscow RUS
2628,TCh-BAN Premier 2018,2018,Dhaka BAN
2629,25th Zadar Open A 2018,2018,Zadar CRO
2630,Bay Area Int Open 2019,2019,Burlingame USA
2631,24th Bosnjaci Open,2019,Bosnjaci CRO
2632,81st Tata Steel TOP,2019,Wijk aan Zee NED
2633,ch-MDA 2019,2019,Chisinau MDA
2634,Prague International Open,2019,Prague CZE
2635,ch-POL U18 2019,2019,Szklarska Poreba POL
2636,ch-LTU 2019,2019,Vilnius LTU
2637,ch-Moscow Final w 2019,2019,Moscow RUS
2638,ch-East Asia 2019,2019,Ulaanbaatar MGL
2639,GAMMA Reykjavik Open 2019,2019,Reykjavik ISL
2640,7th POL-HUN Open 2019,2019,Chorzow POL
2641,1st University Chess Cup,2019,Koper SLO
2642,ch-RUS Junior Girls 2019,2019,Loo RUS
2643,ch-SYR 2019,2019,Damascus SYR
2644,1st Ghaem Cup 2019,2019,Qaem Shahr IRI
2645,29th ch-SLO 2019,2019,Radenci SLO
2646,Chowdhury Mem Rating 2019,2019,Dhaka BAN
2647,17th Somov Memorial 2019,2019,Kirishi RUS
2648,Mitropa Cup Women 2019,2019,Radenci SLO
2649,Shavout Ramat Gan 2019,2019,Ramat Gan ISR
2650,14th Teplice Open 2019,2019,Teplice CZE
2651,Asian Zonal 3.1 Women,2019,Amman JOR
2652,Ruzomberok Open 2019,2019,Ruzomberok SVK
2653,ch-USA Junior 2019,2019,Saint Louis USA
2654,12th Paleochora Open 2019,2019,Paleochora GRE
2655,Zonal 2.3 Women 2019,2019,Cartagena COL
2656,ch-Africa Women 2019,2019,Hammamet TUN
2657,30th Czech Rapid G1 2019,2019,Pardubice CZE
2658,Tal Memorial Rapid 2019,2019,Riga LAT
2659,39th Plunge Open 2019,2019,Plateliai LTU
2660,Gilbert Cup 2019,2019,Dublin IRL
2661,28th TCh-MKD 2019,2019,Ohrid MKD
2662,FSIM August 2019,2019,Budapest HUN
2663,28th Kavala Open 2019,2019,Kavala GRE
2664,Hell International 2019,2019,Hell NOR
2665,3rd Irena Warakomska Mem,2019,Suwalki POL
2666,Goteborg Open 2019,2019,Gothenburg SWE
2667,Achilles Gadelha Mem 2019,2019,Fortaleza BRA
2668,27th Heraklion Open 2019,2019,Irakleio GRE
2669,29th TCh-SLO West 2019,2019,Slovenia SLO
2670,Satka Autumn 2019,2019,Satka RUS
2671,V Dvorkovich Rapid Teams,2019,Aktobe KAZ
2672,World Youth Girl U14 2019,2019,Mumbai IND
2673,22nd European Teams Women,2019,Batumi GEO
2674,ch-IRI Semi-Final 2019,2019,Lorestan IRI
2675,I Machado de Assis Open,2019,Joao Pessoa BRA
2676,84th ch-ESP 2019,2019,Marbella ESP
2677,15th Ugra Governor's Cup,2019,Khanty-Mansiysk RUS
2678,ch-POL U20 Women 2019,2019,Ustron POL
2679,15th Governor's Cup Rapid,2019,Khanty-Mansiysk RUS
2680,Top 16 Russian Rapid GP,2019,Khanty-Mansiysk RUS
2681,Aarhus Chess House GM Dec,2019,Aarhus DEN
2682,19th Deaf Olympiad Team,2019,Chiavenna ITA
2683,Pere Noel Open 2019,2019,Montreal CAN
2684,World Blitz 2019,2019,Moscow RUS
2685,Charlotte Open 2020,2020,Charlotte USA
2686,28th Heraklion Open 2020,2020,Irakleio GRE
2687,10th Sharjah Women's Cup,2020,Sharjah UAE
2688,2nd Binhai Cup 2020,2020,Tianjin CHN
2689,75th ch-ARM w 2020,2020,Yerevan ARM
2690,ch-TUN 2020,2020,Sousse TUN
2691,ch-URU Semi-Final 2020,2020,Montevideo URU
2692,ch-SRB Semi-Final 2020,2020,Novi Banovci SRB
2693,Bicaz City Cup 2020,2020,Bicaz ROU
2694,FISCA Online U14 Op 2020,2020,chess.com INT
2695,RUS-BLR U16 Team Battle 2,2020,lichess.org INT
2696,Russia-Latvia U-16 Team,2020,lichess.org INT
2697,PNWCC Online Blitz JP 14,2020,lichess.org INT
2698,AZE-GEO U16 Team Battle,2020,lichess.org INT
2699,29th TCh-CRO Junior 2020,2020,Cakovec CRO
2700,53rd Biel C-HTO 2020,2020,Biel SUI
2701,Online Olym Base B 2020,2020,chess.com INT
2702,Friendship Match AZE-TUR,2020,PlayChess INT
2703,FSGM August 2020,2020,Budapest HUN
2704,TCh-ESP CECLUB Div2 2020,2020,Linares ESP
2705,II Zujar - Villa Termal,2020,lichess.org INT
2706,Saint Louis Blitz 2020,2020,lichess.org INT
2707,88th ch-St Petersburg W,2020,St Petersburg RUS
2708,11th Dolomiti Open 2020,2020,Forni di Sopra ITA
2709,93rd ch-St Petersburg,2020,St Petersburg RUS
2710,ch-USA Junior Girls 2020,2020,lichess.org INT
2711,ch-ALB 2020,2020,Tirana ALB
2712,Asian Nat Cup Women Final,2020,chess.com INT
2713,Bassano October Open 2020,2020,Bassano del Grappa ITA
2714,Satka Autumn 2020,2020,Satka RUS
2715,Mikhail Tal Blitz 2020,2020,lichess.org INT
2716,Third Sat 146 Mix 2020,2020,Novi Sad SRB
2717,ch-TUR 2020,2020,Kemer TUR
2718,16th Ugra Governor's Cup,2020,Khanty-Mansiysk RUS
2719,ch-COL 2020,2020,Fusagasuga COL
2720,ch-RUS Junior 2020,2020,Moscow RUS
2721,Levitov Christmas Q3,2020,lichess.org INT
2722,FSGM February 2021,2021,Budapest HUN
2723,World Corporate East D,2021,chess.com INT
2724,World Corporate East E,2021,chess.com INT
2725,PNWCC Online Blitz JP 21,2021,lichess.org INT
2726,RM Kura Mem 2021,2021,Barnaul RUS
2727,Rotary ISR-GEO Final 2021,2021,lichess.org INT
2728,21st Mediterranean Flower,2021,Rijeka CRO
2729,Hello Sakk Cup Fischer,2021,Tornelo INT
2730,2nd Kumania GM 2021,2021,Kisujszallas HUN
2731,80th ch-GEO 1st League,2021,Tbilisi GEO
2732,Third Sat Mix 201 2021,2021,Novi Sad SRB
2733,FSIM May 2021,2021,Budapest HUN
2734,TCh-RUS Women 2021,2021,Sochi RUS
2735,Women's Speed Chess Q3,2021,chess.com INT
2736,Women's Speed Chess Q7,2021,chess.com INT
2737,Carolinas Classic 2021,2021,Charlotte USA
2738,German Youth Teams U20 2021,2021,Willingen GER
2739,Tuapse Open 2021,2021,Tuapse RUS
2740,34th Leon Blitz Open 2021,2021,chess.com INT
2741,Jana Maciei Mem 2021,2021,Warsaw POL
2742,Malaya Zemlya Rapid 2021,2021,Novorossiysk RUS
2743,14th Paracin Summer Open,2021,Paracin SRB
2744,Kyiv Spring Blitz 2021,2021,Kyiv UKR
2745,Adolf Anderssen Mem 2021,2021,Wroclaw POL
2746,ch-GER Blitz 2021,2021,Magdeburg GER
2747,Stare Mesto Open 2021,2021,Stare Mesto CZE
2748,Smyslov Region Group Cup,2021,Moscow RUS
2749,Online Olym Div4 B 2021,2021,chess.com INT
2750,Online Olym Div4 A 2021,2021,chess.com INT
2751,38th Collado Villalba Op,2021,Collado Villalba ESP
2752,Online Olym Div3 E 2021,2021,chess.com INT
2753,Online Olym Div3 D 2021,2021,chess.com INT
2754,Online Olym Div2 A 2021,2021,chess.com INT
2755,Online Olym Div2 E 2021,2021,chess.com INT
2756,PNWCC Master Artist Point,2021,Redmond WA USA
2757,Barreau de Paris Elite,2021,Paris FRA
2758,Panticapaeum Cup 2021,2021,Kerch RUS
2759,Norway Chess Open Masters,2021,Stavanger NOR
2760,31st TCh-SLO 2021,2021,Ljubljana SLO
2761,1st Prague Autumn Open,2021,Prague CZE
2762,29th TCh-CRO Women 2021,2021,Mali Losinj CRO
2763,ch-UKR Semi-Final 2021,2021,Omelnyk UKR
2764,Doppelbauer Kiel GM 2021,2021,Kiel GER
2765,17th Ugra Governor's Cup,2021,Khanty-Mansiysk RUS
2766,5th Mersin Open 2021,2021,Mersin TUR
2767,23rd European Teams Women,2021,Terme Catez SLO
2768,249th YMCA Autumn B 2021,2021,Warsaw POL
2769,Vezerkepzo IM Dec 2021,2021,Budapest HUN
2770,Charlotte Open 2021,2021,Charlotte USA
2771,ENG-BRD m,1971,Cheltenham
2772,DEN-FRG m,1971,Berleburg
2773,Robert Silk Young Masters,1984,London
2774,Gausdal-ch op,1997,Gausdal
2775,AUT-ch (Women),1997,Gallspach
2776,ST Lee Cup 4th,1997,Beijing
2777,Banicky Kahanec,1997,Prievidza
2778,Brazil op,1997,Pouso Alegre
2779,Novak Nikolic mem 1st,1998,Belgrade
2780,AUT-ch U16,1998,Koestendorf
2781,BEL-chT9899,1998,Antwerp
2782,DEN-chT 9899,1998,Denmark
2783,Groningen op,1998,Groningen
2784,Bunratty Masters,1999,Bunratty
2785,Salsomaggiore Terme op,1999,Salsomaggiore Terme
2786,Katrineholm,1999,Katrineholm
2787,Tel Aviv super 1st,1999,Tel Aviv 
2788,Prague Sachinfo,1999,Prague
2789,Prague Sachinfo playoff 6'-5',1999,Prague
2790,Faber Cup,1999,Bruges
2791,USA-ch (Women),1999,Salt Lake City
2792,Asia-ch U20,1999,Vung Tau City
2793,Itau Mercosul Cup 3rd,1999,Sao Paulo
2794,Wch U14 Girls,1999,Oropesa del Mar
2795,XVIII Open,2002,Ferrol ESP
2796,TCh-BIH,2002,Neum BIH
2797,10th Ducale Open,2002,Genova ITA
2798,25th Politiken Cup,2003,Copenhagen DEN
2799,1st Chesspangenberg Open,2003,Buenos Aires ARG
2800,20th Open,2004,Cappelle la Grande FRA
2801,7th St Quentin Open,2004,Elancourt FRA
2802,ch-VIE Prelim,2005,Hue VIE
2803,ch-Kyiv,2006,Kyiv UKR
2804,ch-VIE sf,2006,Cao Lanh Dong Thap VIE
2805,Canadian Closed zt,2006,Toronto CAN
2806,Spring Open,2007,Belgrade SRB
2807,Doroshkevich mem,2008,Maykop RUS
2808,ch-URU w,2008,Montevideo URU
2809,U16 Olympiad,2008,Mersin TUR
2810,Chladek & Tintera Open,2010,Hradec Kralove CZE
2811,ch-SWE Veterans,2010,Lund SWE
2812,5th Nana Aleksandria Cup,2010,Poti GEO
2813,39th Olympiad Women,2010,Khanty-Mansiysk RUS
2814,EYCC Girls U14,2010,Batumi GEO
2815,9th Sparkassen Open,2010,Forchheim GER
2816,1st HDBank Cup,2011,Ho Chi Minh City VIE
2817,6th Volodymyr Bilinsky Memorial,2011,Lviv UKR
2818,2nd Jerry Hanken Memorial,2011,Stillwater USA
2819,Goodbye Spring,2011,Lviv UKR
2820,DJEM U18 w,2011,Oberhof GER
2821,ch-BRU,2011,Bandar Seri Begawan BRU
2822,118th ch-SCO,2011,Edinburgh SCO
2823,IRT Jose Rubinstein,2011,Villa Martelli ARG
2824,Metalmex Open,2011,Liberec CZE
2825,10th Neumarkt am Wallersee Open,2011,Neumarkt am Wallersee GER
2826,23rd Schlosspark-Open,2011,Wiesbaden GER
2827,2nd Thanksgiving Open,2011,Saint Louis USA
