id,name,year,site
2261,PRO League Atlantic 2017,2017,chess.com INT
2262,BUCA 2017,2017,Birmingham ENG
2263,Brazil Open 2017,2017,Joao Pessoa BRA
2264,TCh-AUT 2nd Mitte 2016-17,2017,Austria AUT
2265,Asian Juniors 2017,2017,Shiraz IRI
2266,Copenhagen CC 2017,2017,Ballerup DEN
2267,26th Guillermo Garcia Open,2017,Santa Clara CUB
2268,45th Annual World Open,2017,Philadelphia USA
2269,2nd Stars Cup Blitz 2017,2017,Bandar-e Anzali IRI
2270,Open ch-MKD 2017,2017,Ohrid MKD
2271,25th Poznan Open 2017,2017,Poznan POL
2272,5th Asian Indoor 2017,2017,Ashgabat TKM
2273,4th Johor Open 2017,2017,Johor MAS
2274,Frauenbundesliga AUT 2017-18,2018,Austria AUT
2275,Portugal Open Rapid 2018,2018,Lisbon POR
2276,TCh-ISR 2018,2018,Israel ISR
2277,ch-SRB semi-final 2018,2018,Zrenjanin SRB
2278,ch-UKR Girls U20 2018,2018,Mykolaiv UKR
2279,42nd Blackpool Conference,2018,Blackpool ENG
2280,ch-CZE Junior 2018,2018,Kouty nad Desnou CZE
2281,Polar Capital Jersey Open,2018,St Clement Bay JCI
2282,ch-ROU Women 2018,2018,Olanesti ROU
2283,Frome Congress 2018,2018,Frome ENG
2284,Mitropa Cup Women 2018,2018,Le Castella ITA
2285,Kupreichik Mem Open 2018,2018,Minsk BLR
2286,Spirit of Blitz 2018,2018,Las Vegas USA
2287,Lanzarote Open 2018,2018,Lanzarote ESP
2288,ch-Commonwealth 2018,2018,New Delhi IND
2289,Canadian Open 2018,2018,Quebec CAN
2290,38th Plunge Open 2018,2018,Plateliai LTU
2291,Hungarian Youth Teams 2018,2018,Zalakaros HUN
2292,Montreal Summer IM 2018,2018,Montreal CAN
2293,27th Kavala Open 2018,2018,Kavala GRE
2294,Lichtenberger Sommer 2018,2018,Berlin GER
2295,15th Malaysian Open 2018,2018,Kuala Lumpur MAS
2296,28th EY Open U14 2018,2018,Riga LAT
2297,World University Women,2018,Araruama BRA
2298,St Louis Fall B 2018,2018,Saint Louis USA
2299,3rd Sat Djenovici Dec GM,2018,Djenovici MNE
2300,Laos Open December 2018,2018,Vientiane LAO
2301,7th Lorca Open 2018,2018,Lorca ESP
2302,4th IIFL Wealth Mumbai Op,2019,Mumbai IND
2303,5th ChessAmateur Belgrade,2019,Belgrade SRB
2304,11th Chennai Open 2019,2019,Chennai IND
2305,TCh-ISL Div 1 2018-19,2019,Reykjavik ISL
2306,43rd Blackpool Conference,2019,Blackpool ENG
2307,Norberto La Porta Cup,2019,Buenos Aires ARG
2308,ch-Moscow Final 2019,2019,Moscow RUS
2309,14th ch-IBCA Blind 2019,2019,Cagliari ITA
2310,ch-GRE Juniors 2019,2019,Trikala GRE
2311,SWVG Arnold Classic 2019,2019,Sandton RSA
2312,Icelandic Open 2019,2019,Akureyri ISL
2313,TCh-LAT 2019,2019,Riga LAT
2314,7th Norway Open 2019,2019,Stavanger NOR
2315,23rd Voronezh Master Open,2019,Voronezh RUS
2316,Gold Coast Open 2019,2019,Gold Coast AUS
2317,13th Portoroz Open 2019,2019,Portoroz SLO
2318,30th Czech Open C 2019,2019,Pardubice CZE
2319,Lidkoping Open 2019,2019,Lidkoping SWE
2320,Northumbria Masters 2019,2019,Newcastle ENG
2321,African Games Rapid 2019,2019,Casablanca MAR
2322,29th TCh-SLO 2019,2019,Slovenia SLO
2323,TCh-ROU Div A 2019,2019,Mamaia ROU
2324,POR Associations Cup 2019,2019,Almada POR
2325,37th World Junior Girls,2019,New Delhi IND
2326,TCh-RUS Rapid 2019,2019,Sochi RUS
2327,Uppsala GM 2019,2019,Uppsala SWE
